src,dst,weight
DSRS 3.7.1,SRP 2.5.2,9
DSRS 3.7.2,DSRS 3.8.4,9
DSRS 3.7.2,SRP 2.5.2,9
DSRS 6.2.5,RG 1.216,9
RG 1.143,RG 4.21,9
RG 1.155,RG 1.160,9
RG 1.155,RG 1.32,9
RG 1.155,SRP 8.2,9
RG 1.59,SRP 2.4.3,9
RG 1.84,SRP 10.3.6,9
SRP 2.3.1,SRP 2.3.2,9
SRP 2.3.1,SRP 3.3.1,9
SRP 2.3.2,SRP 3.3.1,9
10 CFR Part 50,DSRS 15.2.6,8
10 CFR Part 50,DSRS 5.3.1,8
10 CFR Part 50,DSRS 6.2.1,8
10 CFR Part 50,RG 1.145,8
10 CFR Part 50,SRP 10.4.5,8
10 CFR Part 50,SRP 19.3,8
DSRS 15.2.6,RG 1.53,8
DSRS 3.7.1,DSRS 3.8.4,8
DSRS 4.4,RG 1.68,8
DSRS 9.3.6,RG 1.29,8
RG 1.100,RG 1.29,8
RG 1.143,SRP 11.2,8
RG 1.160,RG 1.32,8
RG 1.198,SRP 2.5.4,8
RG 1.206,RG 1.23,8
RG 1.206,SRP 3.7.1,8
RG 1.216,RG 1.57,8
RG 1.32,SRP 8.2,8
RG 1.44,RG 1.50,8
RG 1.44,RG 1.84,8
SRP 10.4.1,SRP 11.3,8
SRP 2.4.12,SRP 2.4.3,8
SRP 2.4.12,SRP 3.4.2,8
SRP 2.4.3,SRP 3.4.2,8
SRP 3.9.1,SRP 3.9.3,8
10 CFR Part 50,DSRS 3.8.5,7
10 CFR Part 50,SRP 2.4.4,7
10 CFR Part 50,SRP 2.5.3,7
10 CFR Part 50,SRP 9.2.6,7
10 CFR Part 50,SRP 9.2.7,7
DSRS 3.7.1,DSRS 3.8.5,7
DSRS 3.7.2,DSRS 3.8.5,7
DSRS 3.8.4,DSRS 3.8.5,7
RG 1.100,SRP 3.9.2,7
RG 1.138,SRP 2.5.2,7
RG 1.145,RG 1.78,7
RG 1.194,SRP 2.3.4,7
RG 1.206,SRP 2.3.5,7
RG 1.23,RG 1.78,7
RG 1.29,SRP 2.4.3,7
RG 1.59,SRP 2.4.4,7
RG 1.71,SRP 10.3.6,7
RG 1.78,SRP 2.3.4,7
RG 1.8,SRP 13.2.1,7
SRP 11.2,SRP 2.4.13,7
SRP 14.3.10,SRP 2.4.12,7
SRP 14.3.10,SRP 2.4.3,7
SRP 14.3.10,SRP 3.4.2,7
10 CFR Part 50,DSRS 15.2.8,6
10 CFR Part 50,DSRS 8.3.2,6
10 CFR Part 50,DSRS 8.4,6
10 CFR Part 50,DSRS 9.3.4,6
10 CFR Part 50,SRP 13.5.1,6
10 CFR Part 50,SRP 2.3.4,6
10 CFR Part 50,SRP 2.4.1,6
10 CFR Part 50,SRP 9.1.2,6
DSRS 6.2.4,RG 1.155,6
DSRS 6.2.4,RG 1.26,6
DSRS 6.2.4,RG 1.29,6
DSRS 8.4,RG 1.155,6
DSRS 9.3.4,RG 1.26,6
RG 1.138,RG 1.206,6
RG 1.143,SRP 9.2.6,6
RG 1.145,SRP 2.3.5,6
RG 1.155,RG 1.26,6
RG 1.198,RG 1.206,6
RG 1.206,SRP 2.5.3,6
RG 1.23,SRP 2.3.2,6
RG 1.29,SRP 2.4.4,6
RG 1.68,SRP 14.2,6
RG 1.8,SRP 13.2.2,6
RG 4.21,SRP 11.2,6
SRP 2.4.6,SRP 2.5.2,6
SRP 2.5.2,SRP 3.7.2,6
SRP 2.5.4,SRP 3.8.5,6
10 CFR Part 50,DSRS 14.2,5
10 CFR Part 50,RG 1.61,5
10 CFR Part 50,SRP 15.0.3,5
10 CFR Part 50,SRP 2.3.5,5
10 CFR Part 50,SRP 3.5.2,5
10 CFR Part 50,SRP 8.1,5
DSRS 12.2,SRP 15.0.3,5
DSRS 3.7.2,SRP 3.7.1,5
DSRS 3.8.2,RG 1.216,5
DSRS 3.8.2,RG 1.71,5
DSRS 3.8.4,RG 1.206,5
DSRS 9.3.4,RG 1.29,5
DSRS 9.3.4,RG 4.21,5
RG 1.143,SRP 10.4.1,5
RG 1.143,SRP 11.3,5
RG 1.183,SRP 15.0.3,5
RG 1.198,SRP 2.5.2,5
RG 1.23,SRP 2.3.1,5
RG 1.26,RG 4.21,5
RG 1.29,RG 4.21,5
RG 1.29,SRP 2.4.1,5
RG 1.29,SRP 9.2.7,5
RG 1.57,RG 1.71,5
RG 1.97,SRP 13.3,5
SRP 13.1.1,SRP 13.2.1,5
SRP 13.2.1,SRP 13.2.2,5
SRP 2.3.3,SRP 2.3.5,5
SRP 2.5.1,SRP 2.5.2,5
SRP 2.5.4,SRP 3.7.2,5
10 CFR Part 50,DSRS 10.2.3,4
10 CFR Part 50,SRP 2.3.3,4
10 CFR Part 50,SRP 3.12,4
10 CFR Part 50,SRP 4.6,4
10 CFR Part 50,SRP 9.3.3,4
DSRS 15.2.6,DSRS 4.4,4
DSRS 15.2.6,SRP 14.2,4
DSRS 3.7.1,SRP 3.7.1,4
DSRS 3.8.2,RG 1.206,4
DSRS 4.4,RG 1.53,4
DSRS 8.4,SRP 19.3,4
RG 1.100,RG 1.20,4
RG 1.100,RG 1.97,4
RG 1.145,SRP 2.3.3,4
RG 1.155,SRP 19.3,4
RG 1.194,RG 1.78,4
RG 1.206,SRP 13.2.1,4
RG 1.206,SRP 2.5.4,4
RG 1.216,RG 1.71,4
RG 1.23,SRP 3.3.1,4
RG 1.29,RG 1.97,4
RG 1.29,SRP 3.4.2,4
RG 1.53,SRP 14.2,4
RG 1.59,SRP 2.4.1,4
RG 1.76,SRP 2.3.2,4
RG 1.76,SRP 3.3.1,4
RG 4.21,SRP 10.4.1,4
SRP 2.5.2,SRP 3.8.5,4
10 CFR Part 50,DSRS 15.1.5,3
10 CFR Part 50,DSRS 6.3,3
10 CFR Part 50,DSRS 6.6,3
10 CFR Part 50,RG 1.194,3
10 CFR Part 50,SRP 19.0,3
10 CFR Part 50,SRP 2.4.5,3
DSRS 14.2,DSRS 5.4.7,3
DSRS 14.2,RG 1.68,3
DSRS 15.1.5,DSRS 4.4,3
DSRS 15.1.5,SRP 14.2,3
DSRS 3.11,DSRS 8.3.2,3
DSRS 3.11,RG 1.100,3
DSRS 3.8.2,RG 1.84,3
DSRS 5.3.1,RG 1.28,3
DSRS 5.3.1,RG 1.44,3
DSRS 5.4.7,RG 1.26,3
DSRS 6.2.5,RG 1.57,3
DSRS 6.6,RG 1.147,3
RG 1.138,RG 1.28,3
RG 1.138,SRP 3.7.2,3
RG 1.138,SRP 3.8.5,3
RG 1.143,RG 1.206,3
RG 1.143,RG 1.59,3
RG 1.143,SRP 2.4.4,3
RG 1.145,RG 1.206,3
RG 1.155,RG 1.28,3
RG 1.155,SRP 9.2.7,3
RG 1.194,SRP 2.3.5,3
RG 1.206,SRP 2.3.1,3
RG 1.206,SRP 2.3.2,3
RG 1.206,SRP 2.3.3,3
RG 1.28,RG 1.29,3
RG 1.28,RG 1.44,3
RG 1.28,SRP 2.5.4,3
RG 1.28,SRP 9.2.7,3
RG 1.29,SRP 9.2.6,3
RG 1.50,SRP 10.3.6,3
RG 1.57,RG 1.84,3
RG 1.59,SRP 3.4.2,3
RG 1.8,SRP 13.3,3
RG 1.8,SRP 13.5.1,3
RG 4.21,SRP 11.3,3
SRP 10.4.1,SRP 14.3.10,3
SRP 11.2,SRP 2.4.1,3
SRP 11.2,SRP 2.4.12,3
SRP 11.3,SRP 14.3.10,3
SRP 13.2.1,SRP 13.5.1,3
SRP 19.3,SRP 9.2.7,3
SRP 2.3.3,SRP 2.3.4,3
SRP 2.4.1,SRP 3.4.2,3
SRP 2.5.1,SRP 2.5.3,3
SRP 2.5.1,SRP 3.7.2,3
SRP 2.5.1,SRP 3.8.5,3
SRP 2.5.2,SRP 2.5.3,3
SRP 2.5.4,SRP 3.7.1,3
SRP 3.12,SRP 3.9.3,3
10 CFR Part 50,DSRS 15.2.7,2
10 CFR Part 50,DSRS 5.2.5,2
10 CFR Part 50,RG 1.221,2
10 CFR Part 50,RG 1.33,2
10 CFR Part 50,RG 1.45,2
10 CFR Part 50,RG 1.65,2
10 CFR Part 50,SRP 10.2,2
10 CFR Part 50,SRP 10.4.6,2
10 CFR Part 50,SRP 13.6,2
10 CFR Part 50,SRP 16.0,2
10 CFR Part 50,SRP 17.5,2
10 CFR Part 50,SRP 2.4.2,2
10 CFR Part 50,SRP 8.3.1,2
DSRS 10.2.3,SRP 19.3,2
DSRS 12.2,RG 1.29,2
DSRS 12.2,SRP 2.3.4,2
DSRS 15.1.5,RG 1.68,2
DSRS 15.2.7,RG 1.206,2
DSRS 15.2.7,RG 1.53,2
DSRS 3.7.2,SRP 3.7.2,2
DSRS 3.8.2,SRP 3.9.1,2
DSRS 3.8.4,RG 1.221,2
DSRS 4.4,RG 1.160,2
DSRS 5.2.5,RG 1.29,2
DSRS 5.2.5,RG 1.45,2
DSRS 5.2.5,RG 1.97,2
